	## New DIPLOMACY strings ##

##
## Regard Events
##

REGARD_EVENT_LOST_BATTLE "Diese Nation ärgert sich noch immer über die Schlacht, die sie gegen uns verloren hat."
DIP_DETAILS_OFFER_INVADE_EX_0  "Dafür würden wir uns bereit erklären, {player[2].country_name#TO_SOMEWHERE} einzumarschieren, um Sie beim Erreichen Ihrer Ziele zu unterstützen."
DIP_DETAILS_OFFER_INVADE_EX_1  "Im Austausch würden wir {player[2].country_name#TO_SOMEWHERE} einmarschieren, vorausgesetzt, das wäre in Ihrem Sinne."
DIP_DETAILS_OFFER_INVADE_EX_2  "Zum Ausgleich würden wir gern {player[2].country_name#TO_SOMEWHERE} einmarschieren. Vielleicht können wir Sie damit uns gegenüber wohlwollender stimmen."
DIP_DETAILS_OFFER_INVADE_EX_3  "Dafür wären wir bereit, {player[2].country_name#TO_SOMEWHERE} einzumarschieren und die dortige Bevölkerung mit den Schrecken des Krieges zu konfrontieren."
DIP_DETAILS_OFFER_INVADE_EX_4  "Im Austausch wären wir bereit, {player[2].country_name#TO_SOMEWHERE} einzumarschieren. Und das ist mehr, als Sie verlangen können."
DIP_DETAILS_REQUEST_INVADE_0  "Wir bitten Sie, {player[2].country_name#TO_SOMEWHERE} einzumarschieren und diese Nation zu vernichten."
DIP_DETAILS_REQUEST_INVADE_1  "Freundliche {player[0].civ_name_plural}, wir bitten Sie, so bald wie möglich in das Reich unserer gemeinsamen Feinde, {player[2].country_name#TO_SOMEWHERE}, einzumarschieren."
DIP_DETAILS_REQUEST_INVADE_2  "Erhabene {player[0].civ_name_plural}, wir bitten Sie, {player[2].country_name#TO_SOMEWHERE} einzumarschieren und diese Nation mit Ihren mächtigen Truppen auszulöschen."
DIP_DETAILS_REQUEST_INVADE_3  "Stellen Sie Ihre Kühnheit unter Beweis und marschieren Sie mit Ihren Truppen {player[2].country_name#TO_SOMEWHERE} ein. Zeigen Sie uns, aus welchem Holz Sie geschnitzt sind."
DIP_DETAILS_REQUEST_INVADE_4  "Wir verlangen Ihren schnellstmöglichen Einmarsch {player[2].country_name#TO_SOMEWHERE}. Es darf niemand davonkommen!"
DIP_DETAILS_REQUEST_INVADE_EX_0  "Dafür bitten wir Sie, {player[2].country_name#TO_SOMEWHERE} einzumarschieren und die dortige Regierung zu stürzen."
DIP_DETAILS_REQUEST_INVADE_EX_1  "Wenn Sie uns außerdem noch den Gefallen tun würden, {player[2].country_name#TO_SOMEWHERE} einzumarschieren, wären wir Ihnen zutiefst zu Dank verpflichtet."
DIP_DETAILS_REQUEST_INVADE_EX_2  "Außerdem flehen wir Sie an, uns im Kampf gegen unsere Feinde zu unterstützen: Bitte lassen Sie Ihre Truppen {player[2].country_name#TO_SOMEWHERE} einmarschieren."
DIP_DETAILS_REQUEST_INVADE_EX_3  "Als Gegenleistung verlangen wir den Einmarsch Ihrer Streitkräfte {player[2].country_name#TO_SOMEWHERE}. Metzeln Sie alles restlos nieder."
DIP_DETAILS_REQUEST_INVADE_EX_4  "Im Austausch fordern wir Sie auf, umgehend {player[2].country_name#TO_SOMEWHERE} einzumarschieren."
DIP_DETAILS_OFFER_STOP_PIRACY_0  "Im Interesse unserer guten Beziehungen sind wir bereit, die Plünderung Ihrer Handelswege durch unsere Truppen einzustellen."
DIP_DETAILS_OFFER_STOP_PIRACY_1  "Im Interesse unserer freundschaftlichen Beziehungen sind wir bereit, die Piraterie auf Ihren Handelswegen einzustellen."
DIP_DETAILS_OFFER_STOP_PIRACY_2  "Wir sind bereit, die Piraterie auf Ihren Handelswegen mit sofortiger Wirkung einzustellen und entschuldigen uns vielmals für diesen Affront gegen Ihr Volk."
DIP_DETAILS_OFFER_STOP_PIRACY_3  "Wir erklären uns bereit, die Piraterie auf Ihren Handelswegen einzustellen. Sie sollten aber nicht erwarten, dass wir uns ab jetzt immer so gnädig zeigen werden."
DIP_DETAILS_OFFER_STOP_PIRACY_4  "Wir sind bereit, die Piraterie auf Ihren Handelswegen einzustellen."
DIP_DETAILS_OFFER_STOP_PIRACY_EX_0  "Zum Ausgleich wären wir bereit, die Piraterie auf Ihren Handelswegen einzustellen."
DIP_DETAILS_OFFER_STOP_PIRACY_EX_1  "Als Gegenleistung würden wir die Piraterie auf Ihren Handelswegen einstellen, um keine weiteren Unstimmigkeiten zwischen unseren Völkern heraufzubeschwören."
DIP_DETAILS_OFFER_STOP_PIRACY_EX_2  "Dafür würden wir mit sofortiger Wirkung die Piraterie auf Ihren Handelswegen einstellen, um Streitigkeiten mit einem so mächtigen Reich wie dem Ihren zu vermeiden!"
DIP_DETAILS_OFFER_STOP_PIRACY_EX_3  "Als Gegenleistung würden wir die Piraterie auf Ihren Handelswegen einstellen. Die Sabotage Ihrer jämmerlichen kommerziellen Aktivitäten ist ohnehin unter unserer Würde."
DIP_DETAILS_OFFER_STOP_PIRACY_EX_4  "Im Austausch würden wir Ihre Handelswege in Ruhe lassen. Es gibt sowieso bessere Möglichkeiten, Profite zu machen."
DIP_DETAILS_REQUEST_STOP_PIRACY_0  "Haben wir etwa nicht das Recht auf freien Handel? Bitte unterlassen Sie die Piraterie auf unseren Handelswegen."
DIP_DETAILS_REQUEST_STOP_PIRACY_1  "Um den Frieden zwischen unseren Völkern zu wahren, bitten wir Sie, die Piraterie auf unseren Handelswegen einzustellen."
DIP_DETAILS_REQUEST_STOP_PIRACY_2  "Wir flehen Sie an: Bitte stellen Sie die Piraterie auf unseren Handelswegen ein!"
DIP_DETAILS_REQUEST_STOP_PIRACY_3  "Die Plünderung unserer Handelswege durch Ihre Truppen ist verächtlich und vor allem unentschuldbar! Ein für alle mal: Lassen Sie es sein!"
DIP_DETAILS_REQUEST_STOP_PIRACY_4  "Hüten Sie sich davor, weiterhin unsere Handelswege zu überfallen!! Wir werden einen derartigen Verrat nicht ungestraft hinnehmen!!"
DIP_DETAILS_REQUEST_STOP_PIRACY_EX_0  "Außerdem bitten wir Sie ergebenst darum, möglichst umgehend die Piraterie auf unseren Handelswegen einzustellen."
DIP_DETAILS_REQUEST_STOP_PIRACY_EX_1  "Außerdem bitten wir Sie um unserer Freundschaft willen, die Piraterie auf unseren Handelswegen einzustellen."
DIP_DETAILS_REQUEST_STOP_PIRACY_EX_2  "Außerdem bitten wir Sie inständig, unsere kommerziellen Aktivitäten nicht länger zu sabotieren und die Piraterie auf unseren Handelswegen einzustellen."
DIP_DETAILS_REQUEST_STOP_PIRACY_EX_3  "Im Austausch bestehen wir darauf, dass Sie die verabscheuungswürdigen Plünderungen unserer Handelswege durch Ihre Truppen unterlassen."
DIP_DETAILS_REQUEST_STOP_PIRACY_EX_4  "Dafür verlangen wir, dass Sie Ihre verachtenswerten Plünderungsaktivitäten unterlassen, die Sie unklugerweise auf unseren Handelswegen durchführen."
DIP_DETAILS_OFFER_BREAK_AGREEMENT_0  "Zum Zeichen unserer Wertschätzung für Ihr Volk sind wir bereit, gegen unsere Vereinbarungen mit den {player[2].civ_name_plural#DAT} zu verstoßen."
DIP_DETAILS_OFFER_BREAK_AGREEMENT_1  "Zum Beweis unserer Freundschaft Ihrem Volk gegenüber sind wir bereit, gegen unsere Vereinbarungen mit den {player[2].civ_name_plural#DAT} zu verstoßen."
DIP_DETAILS_OFFER_BREAK_AGREEMENT_2  "Wir sind bereit, gegen alle Vereinbarungen, die wir mit den {player[2].civ_name_plural#DAT} getroffen haben, zu verstoßen."
DIP_DETAILS_OFFER_BREAK_AGREEMENT_3  "Wir sind bereit, unsere Vereinbarungen mit den {player[2].civ_name_plural#DAT} zu brechen."
DIP_DETAILS_OFFER_BREAK_AGREEMENT_4  "Wir erklären uns einverstanden, unsere Vereinbarungen mit den {player[2].civ_name_plural#DAT} zu brechen."
DIP_DETAILS_OFFER_BREAK_AGREEMENT_EX_0  "Im Austausch würden wir uns bereit erklären, unsere Vereinbarungen mit den {player[2].civ_name_plural#DAT} zu brechen."
DIP_DETAILS_OFFER_BREAK_AGREEMENT_EX_1  "Als Gegenleistung wären wir bereit, jegliche Vereinbarungen, die wir mit den {player[2].civ_name_plural#DAT} getroffen haben, zu brechen."
DIP_DETAILS_OFFER_BREAK_AGREEMENT_EX_2  "Dafür würden wir unsere bestehenden Vereinbarungen mit den {player[2].civ_name_plural#DAT} aufkündigen und beten, dass Sie sich damit zufrieden geben."
DIP_DETAILS_OFFER_BREAK_AGREEMENT_EX_3  "Als Gegenleistung würden wir alle unsere Vereinbarungen mit den {player[2].civ_name_plural#DAT} aufkündigen. Das sollte mehr als genug sein."
DIP_DETAILS_OFFER_BREAK_AGREEMENT_EX_4  "Als Gegenleistung würden wir unsere derzeitigen Vereinbarungen mit {player[2].country_name#DAT} aufkündigen."
DIP_DETAILS_REQUEST_BREAK_AGREEMENT_0  "Wir bitten Sie, alle Vereinbarungen, die Sie mit den {player[2].civ_name_plural#DAT} getroffenen haben, aufzukündigen - Ihr Ansehen bei unserem Volk würde beträchtlich steigen."
DIP_DETAILS_REQUEST_BREAK_AGREEMENT_1  "Im Hinblick auf unsere gemeinsamen Interessen und Ziele wäre es das Beste, wenn Sie Ihre derzeitigen Vereinbarungen mit den {player[2].civ_name_plural#DAT} brechen."
DIP_DETAILS_REQUEST_BREAK_AGREEMENT_2  "Wir flehen Sie an: Annullieren Sie Ihre Vereinbarungen mit den {player[2].civ_name_plural#DAT}. Sie sind unsere Feinde!"
DIP_DETAILS_REQUEST_BREAK_AGREEMENT_3  "Wir verachten so schändliche Reiche wie {player[2].country_name#DAT} und fordern Sie daher auf, umgehend alle Ihre Vereinbarungen mit diesem Volk zu annullieren."
DIP_DETAILS_REQUEST_BREAK_AGREEMENT_4  "Wir verlangen die Annullierung aller Ihrer Vereinbarungen mit den {player[2].civ_name_plural#DAT}! Und zwar auf der Stelle!"
DIP_DETAILS_REQUEST_BREAK_AGREEMENT_EX_0  "Außerdem müssen wir Sie bitten, alle Vereinbarungen, die Sie mit den {player[2].civ_name_plural#DAT} getroffen haben, für null und nichtig zu erklären. Damit würden Sie uns aufs Höchste erfreuen."
DIP_DETAILS_REQUEST_BREAK_AGREEMENT_EX_1  "Außerdem müssen wir Sie auffordern, alle mit den {player[2].civ_name_plural#DAT} getroffenen Vereinbarungen für null und nichtig zu erklären."
DIP_DETAILS_REQUEST_BREAK_AGREEMENT_EX_2  "Außerdem flehen wir Sie an, zum Ausgleich alle Ihre bestehenden Vereinbarungen mit den {player[2].civ_name_plural#DAT} aufzukündigen."
DIP_DETAILS_REQUEST_BREAK_AGREEMENT_EX_3  "Als Gegenleistung und zum Wohle unserer zukünftigen Beziehungen fordern wir die Aufhebung aller Ihrer Vereinbarungen mit den {player[2].civ_name_plural#DAT}."
DIP_DETAILS_REQUEST_BREAK_AGREEMENT_EX_4  "Dafür verlangen wir die Aufhebung aller mit den {player[2].civ_name_plural#DAT} getroffenen Vereinbarungen. Eine Kooperation mit ihnen ist nicht länger von Interesse."
DIP_DETAILS_OFFER_STOP_RESEARCH_0  "Wir sind bereit, die Erforschung {advance[0].name#ARTICLE_GEN} einzustellen und uns anderen wissenschaftlichen Zielen zuzuwenden."
DIP_DETAILS_OFFER_STOP_RESEARCH_1  "Im Interesse unserer freundschaftlichen Verbundenheit sind wir bereit, die Erforschung {advance[0].name#ARTICLE_GEN} einzustellen."
DIP_DETAILS_OFFER_STOP_RESEARCH_2  "Wir sind bereit, die Erforschung {advance[0].name#ARTICLE_GEN} umgehend einstellen."
DIP_DETAILS_OFFER_STOP_RESEARCH_3  "Wir sind bereit, die Erforschung {advance[0].name#ARTICLE_GEN} abzubrechen."
DIP_DETAILS_OFFER_STOP_RESEARCH_4  "Wir sind bereit, unsere Forschungen auf dem Gebiet {advance[0].name#ARTICLE_GEN} einzustellen."
DIP_DETAILS_OFFER_STOP_RESEARCH_EX_0  "Außerdem würden wir dafür die Erforschung {advance[0].name#ARTICLE_GEN} einstellen."
DIP_DETAILS_OFFER_STOP_RESEARCH_EX_1  "Dafür würden wir unsere Forschungen auf dem Gebiet {advance[0].name#ARTICLE_GEN} einstellen."
DIP_DETAILS_OFFER_STOP_RESEARCH_EX_2  "Als Gegenleistung würden wir, unsere Forschungen auf dem Gebiet {advance[0].name#ARTICLE_GEN} mit sofortiger Wirkung einstellen! Entschuldigen Sie bitte vielmals."
DIP_DETAILS_OFFER_STOP_RESEARCH_EX_3  "Zum Ausgleich würden wir unsere Forschungen auf dem Gebiet {advance[0].name#ARTICLE_GEN} einstellen."
DIP_DETAILS_OFFER_STOP_RESEARCH_EX_4  "Als Gegenleistung würden wir unsere Forschungen auf dem Gebiet {advance[0].name#ARTICLE_GEN} beenden."
DIP_DETAILS_REQUEST_STOP_RESEARCH_0  "Wir bitten Sie demütig, die Erforschung {advance[0].name#ARTICLE_GEN} einzustellen. Es wäre unklug, trotzdem weiterzumachen."
DIP_DETAILS_REQUEST_STOP_RESEARCH_1  "Hochgeschätzte {player[0].civ_name_plural#DIRECT}, wir müssen Sie bitten, Ihre Forschungen auf dem Gebiet {advance[0].name#ARTICLE_GEN} einzustellen."
DIP_DETAILS_REQUEST_STOP_RESEARCH_2  "Wir bitten Sie höflichst, die Erforschung {advance[0].name#ARTICLE_GEN} einzustellen."
DIP_DETAILS_REQUEST_STOP_RESEARCH_3  "Ihre Wissenschaftler arbeiten an Dingen, von denen sie nichts verstehen. Stellen Sie sofort Ihre Forschungen auf dem Gebiet {advance[0].name#ARTICLE_GEN} ein!"
DIP_DETAILS_REQUEST_STOP_RESEARCH_4  "Beenden Sie auf der Stelle Ihre Forschungen auf dem Gebiet {advance[0].name#ARTICLE_GEN}!"
DIP_DETAILS_REQUEST_STOP_RESEARCH_EX_0  "Außerdem bitten wir Sie, zum Ausgleich die Erforschung {advance[0].name#ARTICLE_GEN} einzustellen."
DIP_DETAILS_REQUEST_STOP_RESEARCH_EX_1  "Außerdem bitten wir Sie, Ihre Forschungen auf dem Gebiet {advance[0].name#ARTICLE_GEN} einzustellen. Ihre diesbezüglichen Bemühungen sind sehr befremdlich."
DIP_DETAILS_REQUEST_STOP_RESEARCH_EX_2  "Außerdem flehen wir Sie an, Ihre Forschungen auf dem Gebiet {advance[0].name#ARTICLE_GEN} einzustellen."
DIP_DETAILS_REQUEST_STOP_RESEARCH_EX_3  "Dafür müssen wir Sie bitten, Ihre Forschungen auf dem Gebiet {advance[0].name#ARTICLE_GEN} einzustellen. Ihre diesbezüglichen Bemühungen sind für uns der blanke Hohn."
DIP_DETAILS_REQUEST_STOP_RESEARCH_EX_4  "Als Gegenleistung verlangen wir, dass Sie die Erforschung {advance[0].name#ARTICLE_GEN} einstellen. Und es wäre besser für Sie, dieser Forderung zügig nachzukommen."
DIP_DETAILS_OFFER_REDUCE_NUCLEAR_WEAPONS_0  "Wir fühlen uns der Sicherung einer friedlichen Zukunft für alle verpflichtet und sind daher bereit, {value[0].value} Prozent unserer Nuklearwaffen abzurüsten."
DIP_DETAILS_OFFER_REDUCE_NUCLEAR_WEAPONS_1  "Zum Zeichen unserer Hochachtung für Ihr Volk sind wir bereit, {value[0].value} Prozent unserer Nuklearwaffen abzurüsten."
DIP_DETAILS_OFFER_REDUCE_NUCLEAR_WEAPONS_2  "Wir sind bereit, {value[0].value} Prozent unserer Nuklearwaffen abzurüsten und hoffen inständig, Sie damit zufrieden stellen zu können."
DIP_DETAILS_OFFER_REDUCE_NUCLEAR_WEAPONS_3  "Wir sind bereit, {value[0].value} Prozent unserer Nuklearwaffen abzurüsten, denn uns ist bewusst, wie bedrohlich sich unsere militärische Übermacht für schwächere Reiche darstellt."
DIP_DETAILS_OFFER_REDUCE_NUCLEAR_WEAPONS_4  "Wir mögen es später vielleicht bereuen, aber wir sind zurzeit bereit {value[0].value} Prozent unserer Nuklearwaffen abzurüsten."
DIP_DETAILS_OFFER_REDUCE_NUCLEAR_WEAPONS_EX_0  "Dafür würden wir uns verpflichten, {value[0].value} Prozent unserer Nuklearwaffen abzurüsten."
DIP_DETAILS_OFFER_REDUCE_NUCLEAR_WEAPONS_EX_1  "Um unser gutes Verhältnis nicht zu belasten, wären wir bereit, als Gegenleistung {value[0].value} Prozent unserer Nuklearwaffen abzurüsten."
DIP_DETAILS_OFFER_REDUCE_NUCLEAR_WEAPONS_EX_2  "Im Austausch wären wir bereit, uns zu verpflichten, {value[0].value} Prozent unserer Nuklearwaffen zu vernichten."
DIP_DETAILS_OFFER_REDUCE_NUCLEAR_WEAPONS_EX_3  "Im Austausch würden wir genau {value[0].value} Prozent unserer Nuklearwaffen abrüsten. Alles, was darüber hinaus ginge, würde jedoch unsere nationale Sicherheit gefährden."
DIP_DETAILS_OFFER_REDUCE_NUCLEAR_WEAPONS_EX_4  "Dafür wären wir bereit, die Anzahl der Nuklearwaffen in unseren Depots um {value[0].value} Prozent zu senken."
DIP_DETAILS_REQUEST_REDUCE_NUCLEAR_WEAPONS_0  "Der Weltfrieden hat oberste Priorität, deshalb rüsten Sie bitte {value[0].value} Prozent Ihrer Nuklearwaffen ab, damit unsere Kinder angstfrei aufwachsen können."
DIP_DETAILS_REQUEST_REDUCE_NUCLEAR_WEAPONS_1  "Wir bitten Sie höflichst, {value[0].value} Prozent Ihrer Nuklearwaffen abzurüsten."
DIP_DETAILS_REQUEST_REDUCE_NUCLEAR_WEAPONS_2  "Wir bitten Sie mit allem gebotenen Respekt, {value[0].value} Prozent Ihrer Nuklearwaffen abzurüsten und hoffen, dass wir damit nicht zu viel von Ihnen verlangen."
DIP_DETAILS_REQUEST_REDUCE_NUCLEAR_WEAPONS_3  "Wir fordern Sie eindringlichst auf, Ihren Nuklearwaffenbestand um {value[0].value} Prozent zu reduzieren."
DIP_DETAILS_REQUEST_REDUCE_NUCLEAR_WEAPONS_4  "Wir verlangen, dass Sie {value[0].value} Prozent Ihrer Nuklearwaffen vernichten."
DIP_DETAILS_REQUEST_REDUCE_NUCLEAR_WEAPONS_EX_0  "Außerdem bitten wir Sie, Ihren Nuklearwaffenbestand um {value[0].value} Prozent zu reduzieren."
DIP_DETAILS_REQUEST_REDUCE_NUCLEAR_WEAPONS_EX_1  "Außerdem bitten wir Sie, dass Sie unserer freundlichen Aufforderung, Ihren Nuklearwaffenbestand um {value[0].value} Prozent zu senken, Folge leisten werden."
DIP_DETAILS_REQUEST_REDUCE_NUCLEAR_WEAPONS_EX_2  "Gleichzeitig bitten wir Sie ergebenst, {value[0].value} Prozent Ihrer Nuklearwaffen abzurüsten, denn unsere Bürger erstarren in Angst vor dieser Bedrohung."
DIP_DETAILS_REQUEST_REDUCE_NUCLEAR_WEAPONS_EX_3  "Außerdem bestehen wir darauf, dass Sie {value[0].value} Ihrer Nuklearwaffen abrüsten. Und es wäre besser, uns in dieser Hinsicht nicht zu enttäuschen."
DIP_DETAILS_REQUEST_REDUCE_NUCLEAR_WEAPONS_EX_4  "Außerdem verlangen wir, dass Sie {value[0].value} Prozent Ihrer Nuklearwaffen abrüsten - selbstredend erwarten wir diesbezüglich Ihre uneingeschränkte Kooperation."
DIP_DETAILS_OFFER_REDUCE_BIO_WEAPONS_0  "Wir erklären uns hiermit bereit, {value[0].value} Prozent unserer biologischen Waffen abzurüsten."
DIP_DETAILS_OFFER_REDUCE_BIO_WEAPONS_1  "Um unsere guten Beziehungen zu wahren, sind wir bereit, {value[0].value} Prozent unserer biologischen Waffen abzurüsten."
DIP_DETAILS_OFFER_REDUCE_BIO_WEAPONS_2  "Zum Beweis unseres großen Interesses an einem guten Verhältnis zu Ihrer Nation sind wir bereit, {value[0].value} Prozent unserer Biowaffen abzurüsten."
DIP_DETAILS_OFFER_REDUCE_BIO_WEAPONS_3  "Uns ist bewusst, dass unser Waffenpotenzial furchteinflößend auf andere wirkt, daher sind wir bereit, {value[0].value} Prozent unserer Biowaffen abzurüsten."
DIP_DETAILS_OFFER_REDUCE_BIO_WEAPONS_4  "Wir sind bereit, {value[0].value} Prozent unserer biologischen Waffen abzurüsten. Das sollte ja wohl genügen, um Ihre Bedenken auszuräumen."
DIP_DETAILS_OFFER_REDUCE_BIO_WEAPONS_EX_0  "Im Gegenzug wären wir bereit, {value[0].value} Prozent unserer biologischen Waffen abrüsten."
DIP_DETAILS_OFFER_REDUCE_BIO_WEAPONS_EX_1  "Als Gegenleistung würden wir dafür {value[0].value} Prozent unserer biologischen Waffen abrüsten."
DIP_DETAILS_OFFER_REDUCE_BIO_WEAPONS_EX_2  "Als Gegenleistung würden wir mit Freuden unsere biologischen Waffen um {value[0].value} Prozent abrüsten."
DIP_DETAILS_OFFER_REDUCE_BIO_WEAPONS_EX_3  "Als Gegenleistung würden wir {value[0].value} Prozent unserer Biowaffen abrüsten. Das sollte genügen, um Sie zufrieden zu stellen."
DIP_DETAILS_OFFER_REDUCE_BIO_WEAPONS_EX_4  "Als Gegenleistung würden wir {value[0].value} Prozent unserer Biowaffen vernichten."
DIP_DETAILS_REQUEST_REDUCE_BIO_WEAPONS_0  "Wir möchten Sie hiermit offiziell bitten, {value[0].value} Prozent Ihrer Biowaffen abzurüsten."
DIP_DETAILS_REQUEST_REDUCE_BIO_WEAPONS_1  "Wir bitten Sie hiermit offiziell um die Abrüstung {value[0].value}-prozentige Abrüstung Ihrer biologischen Waffen."
DIP_DETAILS_REQUEST_REDUCE_BIO_WEAPONS_2  "Wir bitten Sie höchst ehrfürchtig und ergebenst darum, {value[0].value} Prozent Ihrer biologischen Waffen abzurüsten."
DIP_DETAILS_REQUEST_REDUCE_BIO_WEAPONS_3  "Wir bestehen darauf, dass Sie {value[0].value} Prozent Ihrer biologischen Waffen abrüsten."
DIP_DETAILS_REQUEST_REDUCE_BIO_WEAPONS_4  "Wir verlangen, dass Sie {value[0].value} Prozent Ihrer biologischen Waffen abrüsten. Keine Widerrede."
DIP_DETAILS_REQUEST_REDUCE_BIO_WEAPONS_EX_0  "Außerdem würden wir es begrüßen, wenn Sie {value[0].value} Prozent Ihrer biologischen Waffen abrüsten würden."
DIP_DETAILS_REQUEST_REDUCE_BIO_WEAPONS_EX_1  "Als Gegenleistung bitten wir Sie darum, {value[0].value} Prozent Ihrer biologischen Waffen abzurüsten."
DIP_DETAILS_REQUEST_REDUCE_BIO_WEAPONS_EX_2  "Außerdem flehen wir Sie an, der davon ausgehenden Bedrohung ein Ende zu machen und {value[0].value} Prozent Ihrer Biowaffen abzurüsten."
DIP_DETAILS_REQUEST_REDUCE_BIO_WEAPONS_EX_3  "Außerdem fordern wir Sie eindringlich auf, {value[0].value} Prozent Ihrer Biowaffen abzurüsten."
DIP_DETAILS_REQUEST_REDUCE_BIO_WEAPONS_EX_4  "Außerdem verlangen wir, dass Sie {value[0].value} Prozent Ihrer Biowaffen abrüsten. Und darüber lassen wir auch nicht mit uns reden."
DIP_DETAILS_OFFER_REDUCE_NANO_WEAPONS_0  "Im Interesse des Friedens sind wir bereit, {value[0].value} Prozent unserer Nanowaffen abzurüsten."
DIP_DETAILS_OFFER_REDUCE_NANO_WEAPONS_1  "Im Interesse der Freundschaft sind wir bereit, {value[0].value} Prozent unserer Nanowaffen abzurüsten."
DIP_DETAILS_OFFER_REDUCE_NANO_WEAPONS_2  "Da wir Sie nicht der Bedrohung unkonventioneller Kriegsführung aussetzen wollen, sind wir bereit, {value[0].value} Prozent unserer Nanowaffen abzurüsten."
DIP_DETAILS_OFFER_REDUCE_NANO_WEAPONS_3  "Um unterlegenen Nationen ein wenig entgegenzukommen, sind wir bereit, {value[0].value} Prozent unserer Nanowaffen abzurüsten."
DIP_DETAILS_OFFER_REDUCE_NANO_WEAPONS_4  "Wir sind bereit, {value[0].value} Prozent unserer Nanowaffen abzurüsten, aber mehr kommt keinesfalls in Frage."
DIP_DETAILS_OFFER_REDUCE_NANO_WEAPONS_EX_0  "Dafür würden wir unseren Teil dazu beitragen, die Welt wieder sicherer zu machen, indem wir {value[0].value} Prozent unserer Nanowaffen abrüsten."
DIP_DETAILS_OFFER_REDUCE_NANO_WEAPONS_EX_1  "Dafür wären wir bereit, einen wertvollen Beitrag zu einer friedlichen Welt zu leisten und {value[0].value} Prozent unserer Nanowaffen abzurüsten."
DIP_DETAILS_OFFER_REDUCE_NANO_WEAPONS_EX_2  "Dafür wären wir gern bereit, {value[0].value} unserer Nanowaffen abzurüsten. Wir hoffen, dies entspricht Ihren Erwartungen."
DIP_DETAILS_OFFER_REDUCE_NANO_WEAPONS_EX_3  "Als Gegenleistung würden wir ein Exempel statuieren, indem wir uns bereit erklären, {value[0].value} Prozent unserer Nanowaffen abzurüsten."
DIP_DETAILS_OFFER_REDUCE_NANO_WEAPONS_EX_4  "Dafür würden wir {value[0].value} Prozent unserer Nanowaffen abrüsten."
DIP_DETAILS_REQUEST_REDUCE_NANO_WEAPONS_0  "Wir bitten Sie, {value[0].value} Prozent Ihrer Nanowaffen abzurüsten."
DIP_DETAILS_REQUEST_REDUCE_NANO_WEAPONS_1  "Zum Wohle unserer freundschaftlichen Verbundenheit bitten wir Sie, {value[0].value} Prozent Ihrer Nanowaffen abzubauen."
DIP_DETAILS_REQUEST_REDUCE_NANO_WEAPONS_2  "Wir bitten Sie darum, Zurückhaltung und Verständnis zu demonstrieren, indem Sie {value[0].value} Prozent Ihrer Nanowaffen abrüsten."
DIP_DETAILS_REQUEST_REDUCE_NANO_WEAPONS_3  "Wir finden, es wäre das Beste, wenn Sie umgehend Ihre Nanowaffenbestände reduzieren würden. Eine Abrüstung in Höhe von {value[0].value} Prozent würde reichen."
DIP_DETAILS_REQUEST_REDUCE_NANO_WEAPONS_4  "Wir verlangen, dass Sie {value[0].value} Prozent Ihrer Nanowaffen abrüsten und möchten hinzufügen, dass wir kein zweites Mal darum bitten werden."
DIP_DETAILS_REQUEST_REDUCE_NANO_WEAPONS_EX_0  "Außerdem bitten wir Sie, zur Wahrung des Friedens und der Sicherheit in der Welt {value[0].value} Prozent Ihrer Nanowaffen abzurüsten."
DIP_DETAILS_REQUEST_REDUCE_NANO_WEAPONS_EX_1  "Wir bitten Sie um die Abrüstung Ihrer Nanowaffenbestände. Eine Reduzierung um {value[0].value} Prozent würde unseren Vorstellungen voll und ganz entsprechen."
DIP_DETAILS_REQUEST_REDUCE_NANO_WEAPONS_EX_2  "Außerdem müssen wir Sie um eine Demonstration Ihres guten Willens bitten, indem Sie {value[0].value} Prozent Ihrer Nanowaffen abrüsten."
DIP_DETAILS_REQUEST_REDUCE_NANO_WEAPONS_EX_3  "Außerdem bestehen wir darauf, dass Sie {value[0].value} Prozent Ihrer Nanowaffen abrüsten. Wir würden nur ungern härtere Maßnahmen ergreifen müssen."
DIP_DETAILS_REQUEST_REDUCE_NANO_WEAPONS_EX_4  "Außerdem verlangen wir, dass Sie {value[0].value} Prozent Ihrer Nanowaffen abrüsten. Wir wüssten diese Maßnahme durchaus zu schätzen."
DIP_DETAILS_OFFER_GIVE_ADVANCE_0  "Wir würden Ihnen gern unsere Neuerung {advance[0].name#NON_ABBREVIATED} überlassen und hoffen, dass Sie diese Geste zu würdigen wissen."
DIP_DETAILS_OFFER_GIVE_ADVANCE_1  "Zum Zeichen unserer Freundschaft sind wir bereit, Ihrem Volk unsere Neuerung {advance[0].name#NON_ABBREVIATED} zu überlassen."
DIP_DETAILS_OFFER_GIVE_ADVANCE_2  "Wir bieten Ihnen untertänigst unsere Neuerung {advance[0].name#NON_ABBREVIATED} an und hoffen, Sie damit erfreuen zu können."
DIP_DETAILS_OFFER_GIVE_ADVANCE_3  "Großzügig wie wir nun mal sind, erklären wir uns bereit, Ihnen die Neuerung {advance[0].name#NON_ABBREVIATED} zu überlassen."
DIP_DETAILS_OFFER_GIVE_ADVANCE_4  "Wir sind bereit, unser Wissen über {advance[0].name#ARTICLE_ACC} mit Ihrem Volk zu teilen. Das ist mehr als großzügig."
